,file_path,length,label
0,train-clean-360/1025/75365/1025-75365-0008.flac,317760,
1,train-clean-360/1112/1043/1112-1043-0006.flac,314400,
2,train-clean-360/1265/135635/1265-135635-0050.flac,314400,
3,train-clean-360/1025/75365/1025-75365-0009.flac,284960,
4,train-clean-360/1271/133279/1271-133279-0037.flac,276640,
5,train-clean-360/1100/124547/1100-124547-0054.flac,275920,
6,train-clean-360/1265/135635/1265-135635-0011.flac,275280,
7,train-clean-360/1112/128136/1112-128136-0026.flac,274000,
8,train-clean-360/166/122789/166-122789-0027.flac,273760,
9,train-clean-360/1629/139710/1629-139710-0075.flac,273280,
10,train-clean-360/1401/146770/1401-146770-0027.flac,273201,
11,train-clean-360/1607/134636/1607-134636-0014.flac,273040,
12,train-clean-360/126/122467/126-122467-0001.flac,273040,
13,train-clean-360/1296/138074/1296-138074-0033.flac,273040,
14,train-clean-360/1121/135824/1121-135824-0037.flac,273040,
15,train-clean-360/1160/134674/1160-134674-0005.flac,272960,
16,train-clean-360/1668/136280/1668-136280-0030.flac,272800,
17,train-clean-360/1472/139797/1472-139797-0001.flac,272640,
18,train-clean-360/126/122467/126-122467-0054.flac,272560,
19,train-clean-360/1112/1043/1112-1043-0013.flac,272080,
20,train-clean-360/1498/140040/1498-140040-0040.flac,271760,
21,train-clean-360/1348/135826/1348-135826-0053.flac,271440,
22,train-clean-360/1264/129805/1264-129805-0001.flac,271440,
23,train-clean-360/1448/135894/1448-135894-0058.flac,271360,
24,train-clean-360/1175/126220/1175-126220-0034.flac,271200,
25,train-clean-360/1668/136280/1668-136280-0034.flac,271120,
26,train-clean-360/1634/141571/1634-141571-0070.flac,271040,
27,train-clean-360/1446/122614/1446-122614-0028.flac,270960,
28,train-clean-360/1012/133424/1012-133424-0029.flac,270960,
29,train-clean-360/1445/139404/1445-139404-0019.flac,270880,
30,train-clean-360/1513/140221/1513-140221-0005.flac,270880,
31,train-clean-360/1323/138548/1323-138548-0001.flac,270800,
32,train-clean-360/1323/138548/1323-138548-0012.flac,270720,
33,train-clean-360/1445/139387/1445-139387-0020.flac,270720,
34,train-clean-360/1482/140067/1482-140067-0011.flac,270720,
35,train-clean-360/1212/14653/1212-14653-0033.flac,270640,
36,train-clean-360/112/123215/112-123215-0031.flac,270560,
37,train-clean-360/1241/121103/1241-121103-0031.flac,270320,
38,train-clean-360/1058/131113/1058-131113-0055.flac,270320,
39,train-clean-360/1349/135891/1349-135891-0019.flac,270320,
